rank,country,region,score,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_life_choice,generosity,corruption_perceptions,dystopia,population,year,sqrt_of_population,posx
1,Switzerland,Western Europe,7.587000000000001,1.3965100000000001,1.34951,0.9414299999999999,0.66557,0.29678000000000004,0.41978000000000004,2.5173799999999997,8300000.0,2015,2880.972058177587,9.594226
2,Iceland,Western Europe,7.561,1.3023200000000001,1.4022299999999999,0.94784,0.6287699999999999,0.4363,0.14145,2.70201,330000.0,2015,574.4562646538029,-14.508695
3,Denmark,Western Europe,7.527,1.32548,1.36058,0.87464,0.6493800000000001,0.34139,0.48357,2.4920400000000003,5690000.0,2015,2385.3720883753126,12.690006
4,Norway,Western Europe,7.522,1.459,1.33095,0.88521,0.66973,0.34699,0.36503,2.4653099999999997,5200000.0,2015,2280.350850198276,28.165547
5,Canada,North America,7.4270000000000005,1.32629,1.32261,0.9056299999999999,0.63297,0.45811,0.32957,2.4517599999999997,36000000.0,2015,6000.0,-63.6645
6,Finland,Western Europe,7.406000000000001,1.29025,1.31826,0.8891100000000001,0.64169,0.23351,0.41372,2.61955,5480000.0,2015,2340.939982143925,28.59193
7,Netherlands,Western Europe,7.377999999999999,1.32944,1.28017,0.89284,0.6157600000000001,0.4761,0.31814000000000003,2.4657,16900000.0,2015,4110.960958218893,6.074183
8,Sweden,Western Europe,7.364,1.33171,1.2890700000000002,0.9108700000000001,0.6598,0.36262,0.43843999999999994,2.3711900000000004,9760000.0,2015,3124.099870362662,22.183173
9,New Zealand,Australia and New Zealand,7.2860000000000005,1.2501799999999998,1.3196700000000001,0.9083700000000001,0.6393800000000001,0.47501000000000004,0.42922,2.26425,4610000.0,2015,2147.091055358389,173.020375
10,Australia,Australia and New Zealand,7.284,1.33358,1.30923,0.93156,0.6512399999999999,0.43562,0.35636999999999996,2.26646,23900000.0,2015,4888.762624632127,145.397978
11,Israel,Middle East and Northern Africa,7.278,1.2285700000000002,1.22393,0.9138700000000001,0.41318999999999995,0.33171999999999996,0.07785,3.08854,7980000.0,2015,2824.889378365107,
12,Costa Rica,Latin America and Caribbean,7.226,0.95578,1.2378799999999999,0.8602700000000001,0.63376,0.25497,0.10583,3.17728,4850000.0,2015,2202.271554554524,-82.965783
13,Austria,Western Europe,7.2,1.33723,1.29704,0.8904200000000001,0.62433,0.33088,0.18675999999999998,2.5332,8680000.0,2015,2946.183972531247,16.979667
14,Mexico,Latin America and Caribbean,7.187,1.02054,0.91451,0.8144399999999999,0.48181,0.14074,0.21311999999999998,3.6021400000000003,122000000.0,2015,11045.36101718726,-97.140008
15,United States,North America,7.119,1.3945100000000001,1.24711,0.86179,0.54604,0.40105,0.1589,2.51011,321000000.0,2015,17916.472867168915,-155.54211
16,Brazil,Latin America and Caribbean,6.983,0.98124,1.2328700000000001,0.69702,0.49049,0.14574,0.17521,3.26001,204000000.0,2015,14282.8568570857,-57.625133
17,Luxembourg,Western Europe,6.946000000000001,1.5639100000000001,1.21963,0.91894,0.61583,0.28034000000000003,0.37798000000000004,1.9696099999999999,567000.0,2015,752.994023880668,6.043073
