,rank,country,region,score,gdp_per_capita,healthy_life_expectancy,freedom_to_life_choice,generosity,corruption_perceptions,year,social_support
,1,Switzerland,Western Europe,7.587,3.50727301,3.87935926,4.471369679,2.372440645,3.558844248,2015,3.611250706
1,2,Iceland,Western Europe,7.561,3.270718997,3.905773006,4.224143385,3.487754746,1.199196053,2015,3.75232794
2,3,Denmark,Western Europe,7.527,3.328884312,3.604137093,4.362603546,2.729050178,4.099648181,2015,3.640873714
3,4,Norway,Western Europe,7.522,3.664213878,3.647692989,4.499316999,2.773816226,3.094680347,2015,3.56158467
4,5,Canada,North America,7.427,3.330918591,3.731837871,4.25235943,3.662102514,2.794054741,2015,3.539267065
5,6,Finland,Western Europe,7.406,3.240405727,3.663763755,4.310941312,1.866664247,3.507468299,2015,3.527626588
6,7,Netherlands,Western Europe,7.378,3.338829676,3.679134,4.136740829,3.805913442,2.697152578,2015,3.425698822
7,8,Sweden,Western Europe,7.364,3.344530681,3.753430387,4.432606208,2.898761462,3.71704148,2015,3.449514971
8,9,New Zealand,Australia and New Zealand,7.286,3.139771697,3.743128614,4.295422488,3.79720005,3.638875431,2015,3.531399708
9,10,Australia,Australia and New Zealand,7.284,3.349227103,3.83868786,4.375099223,3.482318869,3.021261911,2015,3.503462562
10,11,Israel,Middle East and Northern Africa,7.278,3.085499139,3.765792515,2.775854137,2.651748807,0.6600029176,2015,3.275202167
11,12,Costa Rica,Latin America and Caribbean,7.226,2.400399136,3.544922502,4.257666733,2.038214136,0.8972139855,2015,3.312531974
12,13,Austria,Western Europe,7.2,3.358393916,3.669161884,4.194314996,2.6450339,1.583328772,2015,3.470842466
13,14,Mexico,Latin America and Caribbean,7.187,2.563041008,3.356070399,3.236850557,1.125066704,1.806805675,2015,2.447202973
14,15,United States,North America,7.119,3.502250099,3.55118598,3.668354492,3.205968464,1.34713505,2015,3.337231194
15,16,Brazil,Latin America and Caribbean,6.983,2.464340799,2.872216725,3.295163715,1.165036389,1.485409264,2015,3.299125355
16,17,Luxembourg,Western Europe,6.946,3.927690696,3.78668451,4.137211096,2.24102032,3.204468886,2015,3.263695489
17,18,Ireland,Western Europe,6.94,3.355204367,3.689394566,4.150244222,3.669297057,2.433405747,2015,3.664689863
18,19,Belgium,Western Europe,6.937,3.284532004,3.694916317,3.926732842,1.778650999,1.910914035,2015,3.440389907
19,20,United Arab Emirates,Middle East and Northern Africa,6.901,3.584525388,3.334683918,4.31013514,2.11263769,3.27102024,2015,3.012475256
20,21,United Kingdom,Western Europe,6.867,3.180432165,3.747496566,4.005670585,4.149812615,2.718601613,2015,3.439908232
21,22,Oman,Middle East and Northern Africa,6.853,3.415856023,3.143112148,4.250814265,1.722053925,2.757345522,2015,2.894919815
22,23,Venezuela,Latin America and Caribbean,6.81,2.622562508,2.969053391,2.882604838,0.4669258646,0.9384164797,2015,3.360913544
23,24,Singapore,Southeastern Asia,6.798,3.822083983,4.224757105,3.64470676,2.486514127,4.171964493,2015,2.729491238
24,25,Panama,Latin America and Caribbean,6.786,2.671008489,3.282598154,3.641885156,1.953238585,0.7858994279,2015,3.207152205
25,26,Germany,Western Europe,6.75,3.335012263,3.675095705,4.130089904,2.255409407,1.851823215,2015,3.47707748
26,27,Chile,Latin America and Caribbean,6.67,2.780558187,3.537917296,2.964834453,2.667017227,1.09101831,2015,3.009050012
27,28,Qatar,Middle East and Northern Africa,6.611,4.245414958,3.285565065,4.302274956,2.603865124,4.426131319,2015,2.886303186
28,29,France,Western Europe,6.575,3.209087874,3.897325552,3.695697183,0.9858123202,1.750342998,2015,3.37274134
29,30,Argentina,Latin America and Caribbean,6.574,2.645843703,3.243945902,3.021400904,0.9153857345,0.7192632952,2015,3.340228282
30,31,Czech Republic,Central and Eastern Europe,6.505,2.96095605,3.481298752,3.114782574,0.8542321159,0.2248333638,2015,3.228372661
31,32,Uruguay,Latin America and Caribbean,6.485,2.666312067,3.344367585,4.055183024,1.857790976,2.081997643,2015,3.234982311
32,33,Colombia,Latin America and Caribbean,6.477,2.307048328,2.846462293,3.591902448,1.470964361,0.4340674294,2015,3.318686709
33,34,Thailand,Southeastern Asia,6.455,2.428326524,3.043143743,3.739566414,4.606905937,0.2701900191,2015,3.385211368
34,35,Saudi Arabia,Middle East and Northern Africa,6.411,3.504510409,2.9679408,2.08583749,1.095649016,2.757345522,2015,2.900566115
35,36,Spain,Western Europe,6.329,3.089366781,3.937832124,3.087036797,1.457054911,0.5424147292,2015,3.515664994
36,37,Malta,Western Europe,6.302,3.032331622,3.655934407,4.055384568,4.137022315,1.151804706,2015,3.484195565
38,39,Kuwait,Middle East and Northern Africa,6.295,3.90335469,2.987184512,3.728481539,1.297256109,2.171100156,2015,3.120022563
39,40,Suriname,Latin America and Caribbean,6.269,2.499752324,2.506215334,4.007820379,1.358249849,1.15578931,2015,2.601044591
40,41,Trinidad and Tobago,Latin America and Caribbean,6.168,3.04345737,2.533535636,3.754346247,2.545589322,0.09664782608,2015,3.167119666
41,42,El Salvador,Latin America and Caribbean,6.13,1.920108347,2.791244789,2.710755691,0.8547117521,0.9983550877,2015,2.743058415
42,43,Guatemala,Latin America and Caribbean,6.123,1.872365574,2.654766901,3.878564023,2.197453363,0.8030247444,2015,2.792537134
43,44,Uzbekistan,Central and Eastern Europe,6.003,1.588345048,2.463030302,4.42192442,1.82557541,2.613391129,2015,3.586952882
44,45,Slovakia,Central and Eastern Europe,5.995,2.935665691,3.251321971,2.133065773,1.35041579,0.290876045,2015,3.398457429
45,46,Japan,Eastern Asia,5.987,3.191407226,4.084076093,3.333188194,0.855750964,1.531105034,2015,3.364017672
46,47,South Korea,Eastern Asia,5.984,3.125782888,3.978050245,2.230948575,1.483434903,0.6661069908,2015,2.562885234
47,48,Ecuador,Latin America and Caribbean,5.975,2.169947961,3.258450798,3.263252712,0.9225802779,1.533648398,2015,2.673376109
48,49,Bahrain,Middle East and Northern Africa,5.96,3.324564608,3.078829084,3.056200692,1.387907355,2.594231121,2015,3.254623944
49,50,Italy,Western Europe,5.948,3.142182694,3.933052101,1.762562238,1.824456259,0.2459432837,2015,3.205198745
50,51,Bolivia,Latin America and Caribbean,5.89,1.711130117,2.2218864,3.857133265,1.641634918,0.7460533943,2015,2.618197571
51,52,Moldova,Central and Eastern Europe,5.889,1.493010189,2.547669669,2.204747962,1.674809757,0.1369177536,2015,2.716860651
52,53,Paraguay,Latin America and Caribbean,5.878,1.90832962,2.723706366,3.620991846,2.737124055,0.6987468268,2015,3.491527728
53,54,Kazakhstan,Central and Eastern Europe,5.855,2.81920949,2.652418097,3.469834466,0.9454429379,0.7167199313,2015,3.00353751
54,55,Slovenia,Central and Eastern Europe,5.848,2.976024785,3.598903792,4.088303286,2.024704383,0.3210572959,2015,3.40878668
55,56,Lithuania,Central and Eastern Europe,5.833,2.881217332,3.013392222,1.43377814,0.2111198782,0.08740693745,2015,3.364900742
56,57,Nicaragua,Latin America and Caribbean,5.828,1.489921099,3.062263833,3.726869194,2.223513598,1.637671979,2015,3.055531642
57,58,Peru,Latin America and Caribbean,5.824,2.260787314,3.008818235,2.787745184,1.197651653,0.5077402021,2015,2.607975358
58,59,Belarus,Central and Eastern Europe,5.813,2.591621374,3.033171626,2.548714979,0.8830102894,1.618427193,2015,3.299178875
59,60,Poland,Central and Eastern Europe,5.791,2.826768972,3.210156086,3.568792164,1.339703915,0.3570882837,2015,3.423852401
60,61,Malaysia,Southeastern Asia,5.77,2.825036067,2.983146217,3.562208421,2.643994688,0.8902621243,2015,2.863905302
61,62,Croatia,Central and Eastern Europe,5.759,2.718751262,3.247324883,1.738847325,0.4351899344,0.2060124714,2015,2.130715788
62,63,Libya,Middle East and Northern Africa,5.754,2.841586561,2.900155134,2.799300326,1.462490788,0.9345166552,2015,2.993395577
63,64,Russia,Central and Eastern Europe,5.716,2.857132471,2.757825838,2.464134027,0.01590793478,0.2547602784,2015,3.307956062
64,65,Jamaica,Latin America and Caribbean,5.709,2.035233476,2.83261671,3.388746929,1.697112841,0.1949064493,2015,3.080097063
66,67,Cyprus,Western Europe,5.689,3.034164984,3.805722187,2.732387992,2.449182441,0.5210504729,2015,2.390124494
67,68,Algeria,Middle East and Northern Africa,5.605,2.358985232,2.545197243,1.919967457,0.6252857581,1.47370979,2015,2.88394833
69,70,Turkmenistan,Central and Eastern Europe,5.548,2.407154952,2.220485358,3.198490173,1.357290576,2.614917147,2015,3.28256109
