,rank,country,region,score,gdp_per_capita,healthy_life_expectancy,freedom_to_life_choice,generosity,corruption_perceptions,year,social_support
,1,Switzerland,Western Europe,7.587,77.56832475,80.20969213,98.80774827,37.28954113,73.68195976,2015,62.34183614
1,2,Iceland,Western Europe,7.561,72.33659672,80.75582315,93.34457363,54.81982208,24.82803662,2015,64.77728427
2,3,Denmark,Western Europe,7.527,73.62300529,74.51919434,96.40424834,42.89465748,84.87871096,2015,62.85322481
3,4,Norway,Western Europe,7.522,81.03929498,75.41975672,99.42532452,43.59828115,64.0719562,2015,61.48444014
4,5,Canada,North America,7.427,73.66799626,77.15953761,93.96808814,57.56018495,57.84783335,2015,61.09916629
5,6,Finland,Western Europe,7.406,71.6661757,75.75203613,95.26262298,29.33985023,72.61827718,2015,60.8982141
6,7,Netherlands,Western Europe,7.378,73.84296114,76.06983155,91.41316326,59.82057597,55.84158054,2015,59.13861207
7,8,Sweden,Western Europe,7.364,73.96904697,77.6059848,97.9511581,45.56214504,76.95725962,2015,59.54975562
8,9,New Zealand,Australia and New Zealand,7.286,69.44051117,77.39298518,94.91969002,59.68362064,75.33891746,2015,60.96335033
9,10,Australia,Australia and New Zealand,7.284,74.07291501,79.36876963,96.68037619,54.73438207,62.55190816,2015,60.48106507
10,11,Israel,Middle East and Northern Africa,7.278,68.24019646,77.86158435,61.34046533,41.6796502,13.66463521,2015,56.54055435
11,12,Costa Rica,Latin America and Caribbean,7.226,53.0882367,73.29487254,94.08536823,32.03623661,18.57582973,2015,57.18498723
12,13,Austria,Western Europe,7.2,74.2756521,75.86364793,92.68542975,41.57410665,32.78108249,2015,59.91793699
13,14,Mexico,Latin America and Caribbean,7.187,56.68529273,69.39016354,71.52750454,17.68357039,37.40792621,2015,42.24661734
14,15,United States,North America,7.119,77.45723594,73.42437631,81.06282263,50.39076242,27.890951,2015,57.61137544
15,16,Brazil,Latin America and Caribbean,6.983,54.5023974,59.38599748,72.81610115,18.31180579,30.75376667,2015,56.95354575
16,17,Luxembourg,Western Europe,6.946,86.86645909,78.29354756,91.42355516,35.2239031,66.34500727,2015,56.34191196
17,18,Ireland,Western Europe,6.94,74.20511069,76.28197917,91.71155949,57.67326732,50.38099221,2015,63.26436837
18,19,Belgium,Western Europe,6.937,72.642091,76.39614698,86.77243395,27.95647584,39.56337541,2015,59.39222759
19,20,United Arab Emirates,Middle East and Northern Africa,6.901,79.27687083,68.94797632,95.2448083,33.20601095,67.72287993,2015,52.00504037
20,21,United Kingdom,Western Europe,6.867,70.33977518,77.48329703,88.51678998,65.22591346,56.28565924,2015,59.38391232
21,22,Oman,Middle East and Northern Africa,6.853,75.54650822,64.98703544,93.93394328,27.06689451,57.08780931,2015,49.97565425
22,23,Venezuela,Latin America and Caribbean,6.81,58.00169525,61.38819389,63.6994285,7.339046087,19.4288821,2015,58.0202092
23,24,Singapore,Southeastern Asia,6.798,84.53081661,87.35114332,80.54025811,39.082525,86.37594074,2015,47.11982339
24,25,Panama,Latin America and Caribbean,6.786,59.07314694,67.87105026,80.47790667,30.70060813,16.27118412,2015,55.36579248
